Chain,DeFi Application,Transaction Hash
BSC,BabyDogeSwap,0x47fccd1e46fb0e41d8f0a1bd5eef215b87d902d184857b6601316ecab5a61ee7
ETH,Uniswap V3,0xbacff425a88e3dd943530b46b85a15374e4aecce96f865afe6ac4d45378a86e7
ETH,Uniswap V3,0x44aa09b791e9606d558b88e5fdd0ebb93fe37b7ba95307e793e8de66503a945e
ETH,ShibaSwap,0x6b9295a4e40652d9af3118209d62a009c3c71e53a78b83b7c2a85d21f3ec2cf7
BSC,Drip,0xb7541261487dc2a1eb04f699eb7780f378d5c0bb0312a735a1a2a45f599e29c5
BSC,BiSwap,0x883fb18d43d1390c1e7701e6a9b66a7b5e4e720dcfbe4529276697310eaff9c3
ETH,SingularityDAO,0x1b30b8c46484e5bdb07da5e843ffc4a958f7d8b56527a6720c6769b854fed17e
ETH,ShibaSwap,0x0543d713d9b71fecaebfc60e11df06551e5054c53241195bcc1f4c5abb0d5524
BSC,BiSwap,0x31deca20decb3d8c62e0237e1e02869c33dbf3a9eedc38f39f937f38b4fc4ef6
BSC,Magpie,0x833dd5b4e1901885735a0a01271a0f66013d60ac29dd140a75b8dc2dfa928790
BSC,BabyDogeSwap,0x9ac5c2cb240d2246a6eceb07dbe74b4f997bf5c554ec184bde2d11a9607c58e1
ETH,RenVM,0x40407e24cba8d892c921989013948ebc4508c96fa8e9748d3b1fc147ecda5d24
ETH,Across,0xe001bf45e6d85ae7b0613e4a877db81b9e280f4d7bf3e1aae0346f920e62a412
ETH,Stargate,0xc866b6927b04a463001f551c6c3f51f489dfaf44ed1423ceec4536088e0d5462
ETH,GETH,0x91d512e77322cb1675e0ec4acfe6b8effeff48ba520ec4c639254cc7d171030a
BSC,Billion Happiness,0x3dda0ed64d47c6560df690725500c89558e3bc2dc3cf31c640036ec40f1b290c
ETH,Uniswap V3,0xfe4a02f4ba0827d37146fe8d1532c10f304feeb39be2a0acd014a6a3c1353d56
BSC,TaiChi,0x13af884e9523f6d26d2762d0cdd4162b88c12204513aee281c6aa8bd3fa63040
ETH,Yearn Finance,0xcbc7d78963c72fd4e6e711d317b1f83055b119dc2e048075895807e7ec7140ec
ETH,Stargate,0x4f99d3d05c0660c4687c200b03b1c916e671664465a46a0fb92eeaba8354e8a4
ETH,Paraswap,0x0dbbd7d742864b671afd5fdf684d9d96985d987e19ed46a1dd4af4049eecfc8c
ETH,ShibaSwap,0x3603e9a54db2cda4a932557c5de236bc803130532630a3f89c1b0c16ce4657bd
BSC,Thena,0xf983449038e1794c7d42664b6c5769d557933299b4caaefa4eea71451f231f91
BSC,Drip,0x58a52dcfc0b343c9e7744a9582417834933f278858f9f2aca600f3889b2114fd
BSC,Drip,0x67d5136899d8d023ed8abb34f890fbb0dd94dfcdbbe8a766829ca30bd9554975
ETH,AAVE V2,0x2926d5ace6e5c2dafdde1f3b9e7fa15d8ee746043856ef9c55d8f6e548b01fed
ETH,Compound V3,0x25890cd9a09d34b6b8aeb306b0e7b2db39d7081b6f185dfec9db7a77b4b49712
BSC,BiSwap,0x8ca1becb98e3dde3af226ecd630b57308957ed9d1cff1258db55ddb74e6dfe1b
ETH,Liquity,0x7d5a3a45b3aaf82bcade9774a2b4e34b5bf549fea37669453ff644d718825bbc
BSC,Drip,0x4a6725533ce417fb13b064d186d0fb3fbfb4abb140825db918a30bad8398f383
ETH,Umbrella Network,0x6f704a4aef886cc572ef869c3e3fe05b79a5626e4bd67a2427b915ed020fd335
BSC,Drip,0xd26e4c56a6fe45b31afaa4f773e60664bfece38e334c6ab6e93bc2810eac2697
BSC,Magpie,0xd1dbf7f64f9e66a47f5e900297c0b442c021a107a4a8a2ebb821b6ce90d9cfc1
ETH,Ankr,0x6bc1d1b63add41d89e18817d09b715fe9f0210b7fe299852dc1f0a58add516c5
ETH,Compound V3,0x3ba791829db4804c633f1f72a4046db5aa8bb5486437d5c767f7ee3a7afeefda
ETH,ShibaSwap,0x000c5ed59d36e4026131e54c88449505b7ccd38a74b696066901367d54c42955
ETH,AAVE V2,0x82a2633177f3ad2924a6e7fee430caddb0d3be70d461b821c8ce203c61bd6d94
ETH,Uniswap V3,0x2b019eafba36ea7151119cae417689ef22e13f13df90086aed10b4e0b5374fe8
ETH,Hex,0xdb538d0bd380aac2d2fd5451b6aefee98c2f2ef33769384dafcc2e8d3c57cfd6
ETH,Augur,0x394e0c5accb38a9a644a99c01cf24554c4a5a7672c88d5fe80842ab0f09f4138
ETH,Flexa,0x6ecf5aed2b177a47670aeb076c357fb8b7f219b794213a1739994ecc168cca38
ETH,Hex,0xe1935b10c3e4012b237fff88ef9634fc5feb98b75b05f1206e0903dce6add627
ETH,Yearn Finance,0x3643d416b707da6298b1f694e0e96ea28cea620957ae249d81ec2e1a9e7202f3
BSC,Kalmy App,0xdee3c5cd1076ecd1a68393bacb1bbdc85679164b57238644285e18e9b3ab8f7b
ETH,Flexa,0x95ae831808f67a8a8797926317f9210b863b8d682de53babb0fc4adcf7ef6e6c
ETH,RenVM,0xb8e53bef8a0f83b7f66f173f98d69ac1c1837faf6a2989c0c78b6d371d2c571f
ETH,API3,0xeae8da90105a3e6110189ea4f71a9feb14ef40a5f2ca0e8a57a41ab462d706a1
ETH,Uniswap V3,0x663093922a1bb4e9cd5bf17dc3bbf0f04cf952da45b1c906e4f16bc497c78aa5
ETH,Stargate,0xf4e0633e9e06d2c5bdf2fb5d33f244c4cf6d861fa439d39b0a57da4601d23f30
ETH,Ankr,0x840cb5d78d402d0200e076bb3780818a108f029e779a45940e5606f707de4669
ETH,Uniswap V3,0xe669d553ce9fe0dabb7c20587a90b22a3e0b00e2518387d8eef857676c62b50e
BSC,BabyDogeSwap,0x96d105c5b7a06ad5de4410049c130a86da2c687574f18d3b3f539c4e106cc1cf
ETH,WBTC,0xce4c03608d801a6bf50b3d14fbaa6c415b82058eb23f00de219900073d280f73
ETH,Uniswap V3,0xcd93ce9fc8b1ee81c22bf645d15e57f701d890e39af546f406c596c491712fc5
ETH,AAVE V2,0x2c1f35d5493c6e14041d17df51d39fea1cf32f487a1ee9e8836f5af67a7a041d
BSC,BiSwap,0xf3271adeab276995ddc2c728b644110e119846fa1098ad3903a3a11c4a223bca
ETH,AAVE V2,0xc562360beff188488d48dd857134385186e0e4c4970a8e4ddb5db7b0928147e0
ETH,ShibaSwap,0x628b3a16eed5b0a3a6c2b4330c4c086ba98fb0cb2ae1c10878126165d69de426
ETH,Enzyme Finance,0xd5b54b277d9df610674573ce9487758619f2c50e1d4da09a088d1adc04a53bb8
ETH,Erasure,0x05caf216825316841cd6413920080d8c92f75d07d0f92f9acb73c1686f4202d4
ETH,SingularityDAO,0xaefe78eabf47b5318dbf13922a7834e480634bfd3f4d62e3e7c502b6f2a9458a
BSC,BiSwap,0x706eec0eaa48543ab77ebbd9de8bd2ef632ddc3375a39005aadf9f5ae25e988c
ETH,AAVE V2,0x3fbfc493dc506fa74e03b98d77d0a5c2ae45b068a85a1caa48dbec7618f6a134
ETH,Uniswap V3,0xdb5a9d4d00fca7c1ca471ae88627f3d4ae9030e1a990f49f3c7ce958fa09ef48
ETH,WBTC,0xe7d81ed585b70d50300dda9c55e1989e5e2aff22d3d22c95ad9c0035e2bd01bb
BSC,MetaTdex,0x97104e5e3cab0961cefea25626c249a36331d047ac604a8522c86a6675e42590
ETH,UniFi,0x9f02fa43d9d5f0e225c056349d3d928a52c4bf60b2c0a9b857ed7add8b00c3ef
BSC,Position Exchange,0xd90cfa6ca8c1886507eb259a4c207f35e00c605bc52f25dd33f3d325d340c6c8
ETH,Flexa,0x28c4365d2722ac4c0ed5f79533d924e39be2f67cf1348547d872a02d696e17a6
ETH,WBTC,0xd3eb6f6939a7bb279dc67e0a1ef8cce3d5e28673ec49c38bf30a4f30a9bc5731
ETH,AAVE V2,0x06314ef138afabfc41bb5fea560ec0142d518824232b0eb19c628ea253ad9005
ETH,WBTC,0x956cfc409d7780ce9458a4ba50fa62cd7cd796a04977f12308bedd5e790ac729
ETH,ZKSwap,0x27652bbccc23c379fdec386be76a642fbafe8b2ba170affabd6cedcb4125c459
BSC,Drip,0x7a252e2de44b6d89321c6f75d51b352d33cd54f4bb641244e51129ac7d98df2f
ETH,MAPO,0xa78b61c00d24c5ae7ad2d6d9c45cfbb9550cec87f5623059832ce96024a8a381
ETH,Hashflow,0x811b2a40d113e3daeb65b7fa522186a27b5554f9372b1cd0b2ca6e196845f1d2
BSC,BabyDogeSwap,0x698afaf614d194df782425ecc3906ec57769d9d7c49f08b2a12f6afe219d5a3b
ETH,BiFi,0xce54082158d6391860d310ae86566871f29cfe755c9302d434b0e5797a1aaf8c
BSC,Magpie,0x1ee4ccecced0dabc7eadf671a156de5d1e3c54124a6137be1ad23660efdc4f3b
ETH,Stargate,0x85725448986b46626a800bbb5cf993d022c7bfd3771b3e758830ac549aa3da85
BSC,Drip,0x9b50254bfc0f1c89083cac0a51fdcfc41c77c0fc2726c20f605341974bb2ae92
ETH,Uniswap V3,0xaac35f65c1735c76e4addd6edf745ad9de6dc57f63d4350f0ef6a72d72f1bcf3
ETH,Coinbase Wrapped Staked ETH,0xa1cfa2b005dabb16f97659cca2ba57ee224463d3738b799e5760d5344abc6676
BSC,BabyDogeSwap,0x7db255c6feb3bebbf1a1e41791c07e7690b14f49e0c5b39c1fbc73b9cd3519e6
BSC,BabyDogeSwap,0xd19aec5040be97c4acd5ac569764abb299a4a2c1971308ed0c9cad59677ac93b
